Precision,Recall,F1 Score,Test Precision,Test Recall,Test F1,Number of examples,Margin,Clauses,Specificity,Accumulation,Max_included_literals,,,,,,,,,,
0.819236875,0.343367243,0.48051897,0.570747768,0.134148906,0.211334642,250,275,15,11.25,27,11,,,,,,,,,,
0.930933811,0.217367035,0.346674123,0.666054845,0.066441097,0.120325947,250,275,15,11.25,27,19,,,,,,,,,,
0.877776046,0.45520924,0.59800332,0.615183838,0.173487827,0.26741826,250,275,15,11.25,49,3,,,,,,,,,,
0.891068132,0.36886535,0.51757209,0.786229951,0.130854472,0.223145395,250,275,15,11.25,49,11,,,,,,,,,,
0.907149964,0.339472213,0.489319669,0.680199467,0.100675389,0.175219219,250,275,15,11.25,49,19,,,,,,,,,,
0.904724443,0.129541005,0.226411753,0.708475794,0.057401811,0.105817271,250,275,15,20,5,3,,,,,,,,,,
0.88237112,0.086365364,0.156506918,0.689113035,0.047235202,0.088254239,250,275,15,20,5,11,,,,,,,,,,
0.858633077,0.074631792,0.13582492,0.600554643,0.029242256,0.055712816,250,275,15,20,5,19,,,,,,,,,,
0.904229241,0.288552517,0.431171513,0.6437004,0.110793124,0.186890941,250,275,15,20,27,3,,,,,,,,,,
0.962694321,0.22286579,0.354184099,0.866505293,0.059301281,0.110766319,250,275,15,20,27,11,,,,,,,,,,
0.939427786,0.266556455,0.396697189,0.575270524,0.01580768,0.030729097,250,275,15,20,27,19,,,,,,,,,,
0.883758229,0.443307691,0.590041567,0.564203736,0.169642539,0.258070827,250,275,15,20,49,3,,,,,,,,,,
0.936453089,0.294611616,0.434497895,0.632798567,0.053690628,0.098921968,250,275,15,20,49,11,,,,,,,,,,
0.960080655,0.264786423,0.406414331,0.585108242,0.024916364,0.047584317,250,275,15,20,49,19,,,,,,,,,,
0.80143652,0.423475295,0.550920836,0.766032988,0.416332116,0.538632723,250,275,57,2.5,5,3,,,,,,,,,,
0.821842579,0.447815588,0.577101564,0.809248971,0.473410785,0.597318178,250,275,57,2.5,5,11,,,,,,,,,,
0.816446267,0.457943128,0.586181439,0.780930418,0.436575242,0.560014974,250,275,57,2.5,5,19,,,,,,,,,,
