Precision,Recall,F1 Score,Test Precision,Test Recall,Test F1,Number of examples,Margin,Clauses,Specificity,Accumulation,Max_included_literals
0.6271090456904782,0.45058101229061587,0.5236487129355132,0.5865519008944732,0.3742059746648944,0.4565125636656147,250,50,57,2.5,27,19
0.6438652771792832,0.5271354813046177,0.5795382304508606,0.5696560311890777,0.4030710664966886,0.47196474797038024,250,50,57,2.5,49,3
0.6543882103146902,0.5611490412172833,0.604092731566472,0.5505679662570668,0.4260174913562825,0.48013883990321893,250,50,57,2.5,49,11
0.672884841752081,0.4996240674935271,0.5731862122250616,0.5566346575839147,0.3424104420233606,0.4238039276678311,250,50,57,2.5,49,19
0.5959755237537193,0.08168486320411598,0.14287302366809138,0.6483164199644401,0.0797431555058164,0.14114593499552178,250,50,57,11.25,5,3
0.54394683716119,0.05378330222538614,0.09615064999373973,0.6079313936242591,0.04113463097238958,0.07485428458878936,250,50,57,11.25,5,11
0.5048389174284702,0.04229770623066371,0.0763111406789855,0.3929859101382986,0.04325663875104177,0.07673500103147128,250,50,57,11.25,5,19
0.727128845433596,0.18943203200399442,0.2976243596497018,0.5535018087434119,0.1235190275355563,0.20141383703265117,250,50,57,11.25,27,3
0.7444275160522583,0.2365402162941499,0.35785099381487057,0.6003996538567317,0.1550718113176852,0.2459028463931105,250,50,57,11.25,27,11
0.7621450999489471,0.35019863457221073,0.4735270892550149,0.6331470831512838,0.26388164069005055,0.3613384759211806,250,50,57,11.25,27,19
0.7752114716599233,0.3623945275803283,0.49342822021273486,0.6166586241377202,0.18997557957749364,0.28898884031915945,250,50,57,11.25,49,3
0.7738306447824793,0.28265547724544526,0.4137509049761217,0.5430852751092966,0.13203217056226507,0.2119475434988395,250,50,57,11.25,49,11
0.8453537536118735,0.33053310392158086,0.4736246334786381,0.6538526746712368,0.1653742638942099,0.26348220762668206,250,50,57,11.25,49,19
0.4489640488812654,0.016444030863873596,0.03165988321284031,0.44562704980419043,0.010298757035433986,0.020065206699205973,250,50,57,20.0,5,3
0.5317063196641091,0.02529880982170647,0.04810046326664905,0.38403951764871247,0.004669756578041499,0.009175608269243652,250,50,57,20.0,5,11
0.7320405298533601,0.039806710446368854,0.07516396439321167,0.6194118513980963,0.042190163150346224,0.07823898768342137,250,50,57,20.0,5,19
0.7805056659731183,0.1918402889208082,0.30740431120017336,0.5777944737759116,0.08754987574934686,0.15038695869371413,250,50,57,20.0,27,3
0.7891099817504611,0.1602486202638208,0.261829361099638,0.4942327749567887,0.050963791255867585,0.09081526480778838,250,50,57,20.0,27,11
0.8229857024186491,0.2500654924815857,0.38317165945101217,0.701433549486518,0.19368058174327196,0.30277332235724586,250,50,57,20.0,27,19
