Precision,Recall,F1 Score,Number of examples,Margin,Clauses,Specificity,Accumulation
0.629786098,0.060603825,0.110031382,100,50,249,14.16666667,10
0.695660878,0.146079974,0.240544862,100,50,249,14.16666667,31
0.71181209,0.18012056,0.284446033,100,50,249,14.16666667,52
0.7049554,0.22785892,0.342664518,100,50,249,14.16666667,73
0.656455863,0.049662754,0.092072745,100,50,249,20,10
0.683045329,0.117115457,0.198241783,100,50,249,20,31
0.713078032,0.176431326,0.281463292,100,50,249,20,52
0.732808812,0.188396219,0.298060426,100,50,249,20,73
0.706052899,0.57552987,0.633293959,100,200,15,2.5,10
0.64835636,0.435758136,0.516761001,100,200,15,2.5,31
0.657727149,0.455696875,0.531922716,100,200,15,2.5,52
0.614227465,0.515714857,0.559468381,100,200,15,2.5,73
0.729190754,0.258224656,0.373100203,100,200,15,8.333333333,10
0.649838462,0.343345324,0.441504696,100,200,15,8.333333333,31
0.723180093,0.289857827,0.39878862,100,200,15,8.333333333,52
0.722064557,0.363921843,0.464831204,100,200,15,8.333333333,73
0.685869891,0.149638788,0.236606385,100,200,15,14.16666667,10
0.706972955,0.142352055,0.227594189,100,200,15,14.16666667,31
0.730178607,0.198602963,0.295509351,100,200,15,14.16666667,52
0.701092654,0.204997571,,100,200,15,14.16666667,73
0.600401545,0.198563271,,100,200,15,20,10
0.774740856,0.255633331,0.357385335,100,200,15,20,31
0.789331744,0.310599392,0.434642947,100,200,15,20,52
0.824514411,0.42157123,0.541750182,100,200,15,20,73
0.584211066,0.420770949,0.488131408,100,200,93,2.5,10
0.575951686,0.451910172,0.505968534,100,200,93,2.5,31
0.562858073,0.453209379,0.501697063,100,200,93,2.5,52
0.582109997,0.458884856,0.512416353,100,200,93,2.5,73
0.690036638,0.196003416,0.301631022,100,200,93,8.333333333,10
0.698148679,0.283409499,0.40092473,100,200,93,8.333333333,31
0.722134739,0.352167123,0.47226015,100,200,93,8.333333333,52
0.776667701,0.317214463,0.446461324,100,200,93,8.333333333,73
0.610827071,0.100088151,0.167981917,100,200,93,14.16666667,10
0.715487307,0.231564736,0.344880786,100,200,93,14.16666667,31
0.749645846,0.288977626,0.412188423,100,200,93,14.16666667,52
0.785247752,0.270090919,0.39703945,100,200,93,14.16666667,73
0.61796692,0.093640888,0.159224791,100,200,93,20,10
0.723366626,0.217044547,0.327095393,100,200,93,20,31
0.72498013,0.256703919,0.370923725,100,200,93,20,52
0.841317981,0.289376479,0.424892707,100,200,93,20,73
0.535934352,0.3742763,0.439990012,100,200,171,2.5,10
0.574378537,0.458675695,0.50947443,100,200,171,2.5,31
0.603091085,0.485440183,0.536970681,100,200,171,2.5,52
0.572188545,0.491371622,0.528137398,100,200,171,2.5,73
0.606476645,0.115062455,0.19120897,100,200,171,8.333333333,10
0.670620297,0.230288977,0.341920142,100,200,171,8.333333333,31
0.689339195,0.271363451,0.386904497,100,200,171,8.333333333,52
0.679201808,0.314909586,0.428574267,100,200,171,8.333333333,73
0.685382357,0.10950817,0.186567363,100,200,171,14.16666667,10
0.720675436,0.21683213,0.33125512,100,200,171,14.16666667,31
0.746215148,0.249207208,0.367510104,100,200,171,14.16666667,52
0.767121495,0.270061839,0.394085893,100,200,171,14.16666667,73
0.695595323,0.104829823,0.179704448,100,200,171,20,10
0.785590689,0.20454183,0.3194513,100,200,171,20,31
0.761539201,0.237058367,0.356401482,100,200,171,20,52
0.737475943,0.240548184,0.360039689,100,200,171,20,73
0.608785954,0.395509689,0.47894342,100,200,249,2.5,10
0.584691158,0.450521183,0.508335225,100,200,249,2.5,31
0.523357651,0.455638044,0.486853415,100,200,249,2.5,52
0.541472604,0.464285967,0.499717397,100,200,249,2.5,73
0.623848458,0.12148023,0.202187059,100,200,249,8.333333333,10
0.671621954,0.257914803,0.37199499,100,200,249,8.333333333,31
0.670757808,0.261244453,0.373768257,100,200,249,8.333333333,52
0.71885881,0.297759023,0.419443461,100,200,249,8.333333333,73
0.636116242,0.101624586,0.173113016,100,200,249,14.16666667,10
0.696232148,0.170908159,0.271400937,100,200,249,14.16666667,31
0.731658518,0.234259685,0.352818113,100,200,249,14.16666667,52
0.767904621,0.269267917,0.395036846,100,200,249,14.16666667,73
0.737417518,0.100270542,0.175442349,100,200,249,20,10
0.700389787,0.153689372,0.248955269,100,200,249,20,31
0.739848036,0.205429471,0.318285395,100,200,249,20,52
0.73800771,0.261263625,0.383515337,100,200,249,20,73
0.579594445,0.47486244,0.518905346,100,350,15,2.5,10
0.645534256,0.508888056,0.565903296,100,350,15,2.5,31
0.650772992,0.453190944,0.530019511,100,350,15,2.5,52
0.627983753,0.544036746,0.580939698,100,350,15,2.5,73
0.673553177,0.265662267,0.378348184,100,350,15,8.333333333,10
0.84087684,0.328045501,,100,350,15,8.333333333,31
0.773283629,0.410944209,0.532709828,100,350,15,8.333333333,52
0.613141627,0.304194327,,100,350,15,8.333333333,73
0.617697529,0.103869442,,100,350,15,14.16666667,10
0.823594731,0.250765378,0.376028939,100,350,15,14.16666667,31
0.80571598,0.314397417,0.437046308,100,350,15,14.16666667,52
0.804417634,0.280084022,0.41427647,100,350,15,14.16666667,73
0.641952222,0.135942478,,100,350,15,20,10
0.841866574,0.423089418,0.530293291,100,350,15,20,31
0.694389946,0.221715148,0.313296896,100,350,15,20,52
0.877712053,0.376700139,0.498593463,100,350,15,20,73
0.622489899,0.455551639,0.524649823,100,350,93,2.5,10
0.596736263,0.434924263,0.50231326,100,350,93,2.5,31
0.571158865,0.477193112,0.518936995,100,350,93,2.5,52
0.579047665,0.472969738,0.519492838,100,350,93,2.5,73
0.643438417,0.185435991,0.285655007,100,350,93,8.333333333,10
0.68881127,0.278495779,0.391231441,100,350,93,8.333333333,31
0.725385281,0.338966669,0.457615298,100,350,93,8.333333333,52
0.73601864,0.325420598,0.446496887,100,350,93,8.333333333,73
0.70324194,0.119598526,0.199944525,100,350,93,14.16666667,10
0.74879719,0.271263254,0.392121411,100,350,93,14.16666667,31
0.813719915,0.381040732,0.516122693,100,350,93,14.16666667,52
0.80106702,0.292985249,0.419025311,100,350,93,14.16666667,73
0.716892735,0.123520076,0.206768787,100,350,93,20,10
0.748341646,0.252916096,0.366536556,100,350,93,20,31
0.819618882,0.312718056,0.436171021,100,350,93,20,52
